idJurisdicao,nome,ativo,idOrgaoPje,id,table
241,CEJUSC de Parnamirim - Pré-Processual,False,404,1251,orgao_julgador
241,Gabinete 1/UJUDOCrim,True,405,1252,orgao_julgador
241,Gabinete 2/UJUDOCrim,True,406,1253,orgao_julgador
241,Gabinete 3/UJUDOCrim,True,407,1254,orgao_julgador
241,Natal - CEJUSC - Juizados - Pré-Processual,False,409,1255,orgao_julgador
266,TUJ Gab. da Juíza Sulamita Bezerra Pacheco de Carvalho,True,86,1256,orgao_julgador
266,TUJ Gab. do Juiz Jessé de Andrade Alexandria,True,87,1257,orgao_julgador
262,Gab. do Juiz Fábio Antônio Correia Filgueira,True,88,1258,orgao_julgador
262,Gab. do Juiz José Conrado Filho,True,89,1259,orgao_julgador
262,Gab. do Juiz Reynaldo Odilio Martins Soares,True,90,1260,orgao_julgador
266,TUJ Gab. do Juiz José Conrado Filho,True,91,1261,orgao_julgador
210,2ª Vara da Comarca de Nísia Floresta,True,414,1262,orgao_julgador
210,"Juizado Especial Cível, Criminal e da Fazenda Pública da Comarca de Nísia Floresta - 2ª Vara",True,418,1263,orgao_julgador
194,2ª Vara da Comarca de Extremoz,True,422,1264,orgao_julgador
241,Núcleo de Execuções Fiscais 4.0 - Gabinete 1,True,419,1265,orgao_julgador
241,Núcleo de Execuções Fiscais 4.0 - Gabinete 2,True,420,1266,orgao_julgador
241,Núcleo de Execuções Fiscais 4.0 - Gabinete 3,True,421,1267,orgao_julgador
190,2ª Vara da Comarca de Canguaretama,True,427,1268,orgao_julgador
190,"Juizado Especial Cível, Criminal e da Fazenda Pública da Comarca de Canguaretama - 2ª Vara",True,428,1269,orgao_julgador
196,2ª Vara da Comarca de Goianinha,True,425,1270,orgao_julgador
196,"Juizado Especial Cível, Criminal e da Fazenda Pública da Comarca de Goianinha - 2ª Vara",True,424,1271,orgao_julgador
262,Gabinete 1 da 3ª Turma Recursal,True,97,1272,orgao_julgador
262,Gabinete 2 da 3ª Turma Recursal,True,98,1273,orgao_julgador
262,Gabinete 3 da 3ª Turma Recursal,True,99,1274,orgao_julgador
241,CEJUSC de Natal - Pré-Processual,True,411,1275,orgao_julgador
241,CEJUSC de Natal - Zona Norte Pré-Processual,True,413,1276,orgao_julgador
209,CEJUSC de Mossoró - Pré-Processual,True,412,1277,orgao_julgador
